"agency","x_employees","x_female","x_male","x_white","x_black","x_hispanic","x_asian","x_sor","check_gender","check_eth_race","d1","d2","d4","d3","d5","d3_norm","d4_norm","d3_gender","d3_race","d4_gender","d4_race","d3_gender_norm","d3_race_norm","d3_norm_high","d3_gender_norm_high","d3_race_norm_high","d3_gender_race_norm_high"
"BP-QNS",106,67,33,52,14,12,12,9,100,99,83.271692999765,4.03368474632094,-0.5,35.4648172321602,0.855313464458057,47.8049957365234,33.3333333333333,25.2954407251607,24.8574725149282,0.183633685396193,0.671679779061865,44.4328883493175,39.1035735619275,FALSE,FALSE,FALSE,FALSE
"BP-MAN",93,54,46,32,30,26,8,4,100,100,30.2171036135535,1.44920874841416,-0.5,13.7599196686295,0.368828831551799,4.86647453990397,33.3333333333333,6.91066441431049,11.8986598673934,0.0489131902036075,0.319915641348191,11.9328883493175,10.0293235012624,FALSE,FALSE,FALSE,FALSE
"BP-BX",91,57,43,24,21,44,1,10,100,100,63.9467902629429,4.25940477802176,0.5,27.374408338773,0.982988901194106,31.7998433168353,66.6666666666667,11.1533051014298,24.9992403327042,0.0791616348591021,0.903827266335004,19.4328883493175,39.4216422844783,FALSE,FALSE,FALSE,FALSE
"PA",77,53,47,22,43,18,4,13,100,100,72.2171036135535,5.65840649517906,-0.5,31.3427383778622,1.01185817933344,39.6503398695081,33.3333333333333,5.49645085193739,30.8570296213902,0.0388831440646887,0.972975035268754,9.43288834931753,52.5641141462304,FALSE,FALSE,FALSE,FALSE
"BP-SI",52,62,38,77,10,6,0,8,100,101,119.271692999765,5.49023331536192,-0.5,54.151638276351,1.52252468191339,84.7728947627602,33.3333333333333,18.2243729132952,50.9928638137721,0.13047727749146,1.39204740442193,31.9328883493175,97.7406511031696,TRUE,FALSE,TRUE,TRUE
"PUBADMIN",46,57,43,35,24,28,7,7,100,101,31.974816763897,2.1970067697146,1.5,14.4668706477975,0.487752433121026,6.26502661853632,100,11.1533051014298,9.21380115123644,0.0791616348591021,0.408590798261924,19.4328883493175,4.00560390485674,FALSE,FALSE,FALSE,FALSE
"NYCHA",11444,40,60,16,51,24,5,4,100,100,80.6707929340995,3.38519215468223,-0.5,39.2406218878198,0.814630621308509,55.2746217859798,33.3333333333333,12.8883254589128,37.0636948105282,0.0922272786274351,0.722403342681074,22.5,66.4893201554518,FALSE,FALSE,FALSE,FALSE
"PARKS",6921,33,67,36,28,26,7,3,100,100,50.2283082759697,1.69711178928074,-0.5,25.2340889880736,0.462110998301409,27.5656769247324,33.3333333333333,22.7878203955245,10.8385648809857,0.166459764912911,0.295651233388499,40,7.65090600567962,FALSE,FALSE,FALSE,FALSE
"HPD",2502,51,49,26,38,20,13,3,100,100,38.7465924544696,1.62769621621432,-1.5,20.9394091842325,0.364257036625095,19.0695668071812,0,2.6680237271912,20.768738680427,0.0188658009687805,0.345391235656314,4.43288834931753,29.9301351328749,FALSE,FALSE,FALSE,FALSE
"LPC",83,71,29,70,10,7,6,7,100,100,122.271692999765,4.89327476643188,-0.5,53.1335086886463,1.25594174316441,82.7587420235178,33.3333333333333,30.9522949746531,43.1870950790687,0.228093285020411,1.027848458144,54.4328883493175,80.2277139011903,TRUE,FALSE,TRUE,TRUE
"DCLA",77,58,42,39,19,18,14,9,100,99,39.271692999765,2.69476842081677,-0.5,17.2427985925936,0.484692350173211,11.7566093615108,33.3333333333333,12.5675186638029,11.8055740199159,0.0893177313615172,0.395374618811694,21.9328883493175,9.82047711384399,FALSE,FALSE,FALSE,FALSE
"DOE",174771,78,22,44,22,22,7,5,100,100,83.2451301145076,2.74551531436536,0.5,42.9970823739616,0.723054535653894,62.7059795123337,66.6666666666667,40.8517899112648,13.4119481701625,0.311786367054133,0.411268168599761,71.9328883493175,13.4245205555972,FALSE,TRUE,FALSE,TRUE
"SCA",871,36,64,41,20,15,23,2,100,101,55.0532097370571,2.14847152298112,-0.5,24.617619048034,0.55939392561996,26.3461223283565,33.3333333333333,18.5451797084052,16.1896101613683,0.134106152355032,0.425287773264929,32.5,19.6564525630167,FALSE,FALSE,FALSE,FALSE
"NYCHH",40800,69,31,16,44,19,20,0,100,99,98.5449310302997,4.14629494945561,-0.5,42.3119363395009,1.2369096680402,61.3505638768827,33.3333333333333,28.1238678499069,31.6124661163749,0.205611819665786,1.03129784837441,49.4328883493175,54.2590031887319,FALSE,FALSE,FALSE,FALSE
"HRA",12867,71,29,14,56,18,10,2,100,100,114.74659245447,4.23887110188726,-1.5,52.3760032881697,0.986071109292911,81.2601787799128,0,30.9522949746531,42.2516408704376,0.228093285020411,0.757977824272501,54.4328883493175,78.128939088884,TRUE,FALSE,TRUE,TRUE
"DOHMH",7185,71,29,24,40,17,16,4,100,101,86.0154421893835,2.82430507637212,0.5,39.4075165259089,0.667036019544766,55.6047873135625,66.6666666666667,30.9522949746531,24.3907317344488,0.228093285020411,0.438942734524356,54.4328883493175,38.0563990611257,FALSE,FALSE,FALSE,FALSE
"ACS",7441,71,29,12,62,18,5,3,100,100,126.74659245447,4.6255026785792,-1.5,57.9698982956573,1.08858143403846,92.3265097150216,0,30.9522949746531,49.0149420504698,0.228093285020411,0.860488149018052,54.4328883493175,93.3030075079731,TRUE,FALSE,TRUE,TRUE
"DHS",2252,50,50,9,64,20,4,3,100,100,88.7465924544696,3.96451229119694,-1.5,52.0150018128413,0.94095448777633,80.5460141792724,0,1.25381016481811,51.9998882081537,0.00886647362116333,0.932088014155167,1.93288834931753,100,TRUE,FALSE,TRUE,TRUE
"DYCD",582,62,38,23,38,24,12,4,100,101,61.2171036135535,2.22002430162687,-0.5,28.0530767320924,0.509951202772125,33.1424443176797,33.3333333333333,18.2243729132952,21.3271504438313,0.13047727749146,0.379473925280665,31.9328883493175,31.1829816464883,FALSE,FALSE,FALSE,FALSE
"DFTA",347,73,27,27,31,21,19,3,100,101,76.5449310302997,2.29253692517624,-0.5,36.9352321873687,0.564129406931039,50.7138988325753,33.3333333333333,33.7807220993993,14.9356684208639,0.251146949082936,0.312982457848103,59.4328883493175,16.8431226140057,FALSE,FALSE,FALSE,FALSE
"DSNY",9986,9,91,51,21,22,4,1,100,99,115.22830827597,3.71661404868515,-0.5,60.2909557381455,1.19166962979707,96.9182279620734,33.3333333333333,56.7289458924788,20.4163180262072,0.486487796360275,0.705181833436795,100,29.1394480146937,TRUE,TRUE,FALSE,TRUE
"DEP",6210,25,75,48,21,13,15,2,100,99,78.0266468517998,2.31608708278508,0.5,39.3362592379618,0.649184308623222,55.4638199323539,66.6666666666667,34.1015288945093,19.6068104977093,0.258453583089394,0.390730725533828,60,27.3232457938816,FALSE,FALSE,FALSE,FALSE
"DOT",5852,26,74,40,30,16,11,2,100,99,77.2283082759697,2.59155808131982,-0.5,36.4337759391678,0.696825255860571,49.7218743514864,33.3333333333333,32.6873153321362,16.0922169250536,0.246394460916426,0.450430794944145,57.5,19.437942165201,FALSE,FALSE,FALSE,FALSE
"DOB",1722,36,64,34,31,14,16,4,100,99,52.4691315099295,1.85511317989777,0.5,25.0830970174654,0.472565290027778,27.2669714407971,66.6666666666667,18.5451797084052,16.8889924379916,0.134106152355032,0.338459137672746,32.5,21.2255789754131,FALSE,FALSE,FALSE,FALSE
"DDC",1289,62,38,31,23,15,29,2,100,100,59.5449310302996,2.5587287544589,-0.5,26.5831022089145,0.614910007756735,30.2344125226798,33.3333333333333,18.2243729132952,19.3528694246292,0.13047727749146,0.484432730265275,31.9328883493175,26.7535063848618,FALSE,FALSE,FALSE,FALSE
"DCP",324,47,53,52,14,13,18,3,100,100,46.0532097370571,1.74475286823208,-0.5,23.8646956584683,0.466136054067435,24.8566236183225,33.3333333333333,2.98883052230118,23.6767943560836,0.0211661958688679,0.444969858198567,5,36.4546169819479,FALSE,FALSE,FALSE,FALSE
"LAW",1903,63,37,45,29,13,9,4,100,100,67.2451301145076,2.40395807317982,0.5,28.283484667446,0.638129038328679,33.5982573887661,66.6666666666667,19.6385864756683,20.3539044453723,0.140933768356338,0.49719526997234,34.4328883493175,28.9994175886253,FALSE,FALSE,FALSE,FALSE
"DA-MAN",1543,57,43,54,15,20,8,3,100,100,54.8011818406811,1.94630885497794,-1.5,25.1026037806824,0.509899251405655,27.3055614209349,0,11.1533051014298,22.4887639029883,0.0791616348591021,0.430737616546553,19.4328883493175,33.7891648751494,FALSE,FALSE,FALSE,FALSE
"DA-BK",1166,56,44,40,29,20,7,4,100,100,43.2451301145076,1.85789416910993,0.5,17.5072078603862,0.493992533236753,12.2796868336096,66.6666666666667,9.73909153905668,14.5482790412008,0.0690463126995495,0.424946220537203,16.9328883493175,15.9739800465875,FALSE,FALSE,FALSE,FALSE
"DA-BX",1053,61,39,36,25,30,6,3,100,100,41.5043056048131,1.51397074968957,0.5,19.6788221893545,0.435074217121606,16.5757636808905,66.6666666666667,16.8101593509222,10.2310598354636,0.120094115054485,0.31498010206712,29.4328883493175,6.28791434224309,FALSE,FALSE,FALSE,FALSE
"DA-QNS",744,58,42,50,15,18,9,8,100,100,58.271692999765,3.24487775689651,-0.5,23.7963535508707,0.688790287236939,24.721423301108,33.3333333333333,12.5675186638029,20.2070264253057,0.0893177313615172,0.599472555875422,21.9328883493175,28.6698836722102,FALSE,FALSE,FALSE,FALSE
"OATH",703,61,39,48,29,13,8,3,100,101,66.7746189554237,2.33529518863175,-0.5,27.9406176263642,0.630967441391706,32.9199679074165,33.3333333333333,16.8101593509222,22.318079127454,0.120094115054485,0.510873326337221,29.4328883493175,33.4062183830278,FALSE,FALSE,FALSE,FALSE
"DA-NARC",223,51,49,47,20,17,9,7,100,100,36.271692999765,2.3646031856196,-0.5,17.66423436847,0.51740971525636,12.5903303658379,33.3333333333333,2.6680237271912,17.4615814064873,0.0188658009687805,0.498543914287579,4.43288834931753,22.5102333110237,FALSE,FALSE,FALSE,FALSE
"CCRB",222,50,50,43,19,19,10,8,100,99,29.271692999765,2.42145868436458,-0.5,13.6426370273462,0.474811113563619,4.63445579095582,33.3333333333333,1.25381016481811,13.5848998940189,0.00886647362116333,0.465944639942455,1.93288834931753,13.8125531481344,FALSE,FALSE,FALSE,FALSE
"DA-SI",211,58,42,67,9,15,3,5,100,99,87.271692999765,3.63291016836084,-0.5,40.4043518109795,1.02309558023363,57.5768138063049,33.3333333333333,12.5675186638029,38.4001187485191,0.0893177313615172,0.933777848872114,21.9328883493175,69.4877062589501,FALSE,FALSE,FALSE,FALSE
"CCHR",141,58,42,28,23,23,17,9,100,100,39.0154421893835,2.73830835736266,0.5,16.1846535096572,0.482802784070368,9.6632944799375,66.6666666666667,12.5675186638029,10.198062750475,0.0893177313615172,0.393485052708851,21.9328883493175,6.21388244392614,FALSE,FALSE,FALSE,FALSE
"BOC",28,64,36,36,32,14,14,4,100,100,57.2451301145076,1.94994296938874,0.5,27.4023952963475,0.49234657728657,31.8552095569903,66.6666666666667,21.0528000380414,17.5405495505565,0.151470491215033,0.340876086071537,36.9328883493175,22.6874053737692,FALSE,FALSE,FALSE,FALSE
"COIB",26,58,42,50,4,15,23,8,100,100,75.070031575595,4.08332950949114,0.5,30.1918252871422,0.983826703649847,37.3735032248432,66.6666666666667,12.5675186638029,27.4518449071149,0.0893177313615172,0.89450897228833,21.9328883493175,44.9242790333715,FALSE,FALSE,FALSE,FALSE
"NYCCSC",15,67,33,40,40,13,7,0,100,100,85.7746189554237,3.86702766313386,-0.5,36.3074331455815,1.23369220101764,49.4719320191364,33.3333333333333,25.2954407251607,26.0455443433373,0.183633685396193,1.05005851562145,44.4328883493175,41.7691184979268,FALSE,FALSE,FALSE,FALSE
"EEPC",13,62,38,15,54,8,15,8,100,100,103.015442189384,4.89604663880278,0.5,47.1373309590022,1.04129488741119,70.8965803252463,66.6666666666667,18.2243729132952,43.471832280865,0.13047727749146,0.910817609919729,31.9328883493175,80.8665471671513,TRUE,FALSE,TRUE,TRUE
"NYPD",56018,35,65,36,26,27,10,2,100,101,41.2283082759697,1.5835711883865,-0.5,21.2969290134807,0.429380888124532,19.7768437119191,33.3333333333333,19.9593932707783,7.42844571008273,0.144788442518657,0.284592445605876,35,0,FALSE,FALSE,FALSE,FALSE
"FDNY",17860,12,88,63,13,18,4,1,100,99,132.254871161227,4.43449121791608,-1.5,61.8487538302376,1.34726814626592,100,0,52.4863052053595,32.7178256649672,0.437254333589714,0.910013812676206,92.5,56.7389757600485,TRUE,TRUE,FALSE,TRUE
"DOC",11293,44,56,13,58,22,5,2,100,100,85.2002817750156,3.88926499932205,-1.5,45.1590659064605,0.933620129820756,66.9830038781583,0,7.23147120942046,44.5763060121784,0.0513778826632975,0.882242247157458,12.5,83.3445323285271,FALSE,FALSE,TRUE,TRUE
"DOP",1143,69,31,12,63,20,3,3,100,101,123.74659245447,4.65749980940553,-1.5,57.3345674119183,1.12821201126494,91.0696427549982,0,28.1238678499069,49.9629930796062,0.205611819665786,0.922600191599155,49.4328883493175,95.4300444087362,TRUE,FALSE,TRUE,TRUE
"DOI",368,54,46,42,26,16,11,5,100,100,39.2451301145076,1.86937278257511,0.5,16.561719905565,0.461392208541401,10.4092401074545,66.6666666666667,6.91066441431049,15.051022675658,0.0489131902036075,0.412479018337793,11.9328883493175,17.101930156075,FALSE,FALSE,FALSE,FALSE
"NYCEM",209,50,50,54,16,12,10,8,100,100,50.271692999765,3.14464346024077,-0.5,25.988492043219,0.677996214458514,29.0581028382545,33.3333333333333,1.25381016481811,25.9582294995452,0.00886647362116333,0.66912974083735,1.93288834931753,41.5732198711415,FALSE,FALSE,FALSE,FALSE
